system:index,Delta_BSI,Delta_MNDWI,Delta_NDBI,Delta_NDVI,Delta_NDWI,.geo
5,-0.00573101558725686,-0.06959556091157443,0.007338529373003111,0.025136925399836696,-0.03926700815587114,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-0.03575519109473235,-0.08291059707176385,-0.011099842595208687,0.05525510297015401,-0.057082807556334325,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-0.04327060346315842,-0.03896688452371888,-0.019817707827406272,0.05781149897200755,-0.04012083299693292,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.1563199354544026,-0.03661113749637335,0.12697743014821578,-0.09082761028244135,0.06123512444183288,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.019120660020888386,-0.09972859182183508,0.03994594831207726,0.029920710856534694,-0.05129921499923307,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,-0.05748222707370915,-0.0716712264204033,-0.03543418283984917,0.06068006698564232,-0.06444873714092925,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,-0.08745549513917189,1.7922093563355057E-4,-0.06786830205575922,0.06287882301638548,-0.040274673755723134,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,-0.11132472132516949,-0.06061153969995475,-0.07371198706916793,0.10781148915728533,-0.08347724460573391,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,-0.03908128444576192,-0.12678908210560125,0.004023783138518089,0.05843885566069351,-0.07443990065805717,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,-0.09676856831391673,-0.06270525376569197,-0.06898357777609193,0.09530203393830283,-0.08230528354278766,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,-0.018937617764030357,0.025451547432946253,-0.025344676227096408,0.01667356566276601,-3.837502878567545E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,-0.006364000708927347,-0.04204116032198957,0.013299125549646698,0.03197771061697868,-0.027292539032237384,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,0.09799082331231812,-0.06918107076199387,0.10265495304984279,-0.03981354843702878,0.014064899310586965,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,0.007072880217910971,-0.011295473885265361,0.010538708943964248,-0.01106521105263536,-9.8242289595174E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,-0.08565154815942377,-0.09919547085894614,-0.05519636525484328,0.09555450850296121,-0.09163699020427174,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,-0.02076855848916842,-0.10676983963665049,-7.175216122413675E-4,0.048374611138244705,-0.07017905600059526,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,0.02549323045215296,-0.06845698520938232,0.04947444096612069,0.00847052750197197,-0.016750946777343345,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,-0.016137905698683896,-0.03341384735095987,-0.010449868509946003,0.025510887066910848,-0.028157614155783883,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,-0.18179091893224608,0.0940946478007664,-0.12448962150958759,0.13777114637659482,-0.033119778679237655,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,-0.05134428999773344,-0.11846057721171976,-0.021781505725025685,0.07383338844101883,-0.08335874130869658,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,-0.09102448778958272,-0.07779438247410919,-0.044929013955097685,0.09087178300655385,-0.07343318123387865,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,-0.1345702294966098,0.014208408703623776,-0.10283417749322143,0.1022894728279774,-0.05279747651821487,"{""type"":""MultiPoint"",""coordinates"":[]}"
323,0.09309192468789429,-0.07515282234540005,0.09467722396434533,-0.05921328926029812,0.005896730909413006,"{""type"":""MultiPoint"",""coordinates"":[]}"
329,-0.05117742159023192,-0.04550723075565072,-0.040404211881190866,0.04136572105368097,-0.05305146811766992,"{""type"":""MultiPoint"",""coordinates"":[]}"
365,0.0548592095719474,-0.07742310170303202,0.060406445325578484,-0.020718199985732766,-0.013254540394090797,"{""type"":""MultiPoint"",""coordinates"":[]}"
370,0.1950884607084236,0.2598861340774087,0.18373496500163428,-0.4304539423002396,0.34230672136991475,"{""type"":""MultiPoint"",""coordinates"":[]}"
